0,CombatZoneResizeInstant,239,226,404,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
,SansBody,DS_HandDown
0,Sound,GasterBlaster,1.4,,,,,,
0.26666,SansSlam,1,,,,,,,
0,BoneCircle,325,310,24,2,240,0,1,
0.1,BoneScaleChange,1,30,-4,,,,,
0.8,HeartMode,0,,,,,,,
0,Sound,Ding,1
0.1,BoneScaleChange,1,20,2,,,,,
0.2,SineBonesOld,30,-24,320,40,35,,,
0,SineBonesOld,30,24,320,40,35,,,
0,Sound,GasterBlaster,1.4,,,,,,
2.7,BoneCircleColor,1,2
0,BoneScaleChange,1,90,-8,,,,,
0,Sound,DIng,1

0,GasterBlaster,1,0,0,189,176,45,0.333,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.333,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.333,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.333,0.26666

0.9,GasterBlaster,1,0,0,189,246,0,0.333,0.26666
0,GasterBlaster,1,0,0,259,166,90,0.333,0.26666
0,GasterBlaster,1,640,480,449,366,180,0.333,0.26666
0,GasterBlaster,1,640,480,379,446,270,0.333,0.26666

0.9,GasterBlaster,1,0,0,189,176,45,0.333,0.26666
0,GasterBlaster,1,640,0,449,176,135,0.333,0.26666
0,GasterBlaster,1,640,480,449,436,225,0.333,0.26666
0,GasterBlaster,1,0,480,189,436,315,0.333,0.26666

0.7,GasterBlaster,2,-20,306,139,306,0,0.666,0.5
0,GasterBlaster,2,660,306,499,306,180,0.666,0.5

0,GasterBlaster,2,324,-20,324,106,90,0.65,0.5
0,GasterBlaster,2,324,626,324,506,270,0.65,0.5
3,DDLCintroEnd
