0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,377,,,,,
0,HeartMode,1
0,TLPause,,,,,,,
0,YuriAnimation,NoEyes

1,
0,BoneV,128,356,30,0,210,3,
0,BoneV,503,356,30,2,210,3,
0.3,BoneV,128,257,100,0,210,0,
0,BoneV,503,257,100,2,210,0,

0.5,BoneV,128,356,30,0,210,3,
0,BoneV,503,356,30,2,210,3,
0.3,BoneV,128,257,100,0,210,0,
0,BoneV,503,257,100,2,210,0,

0.5,BoneV,128,356,30,0,210,3,
0,BoneV,503,356,30,2,210,3,
0.3,BoneV,128,257,100,0,210,0,
0,BoneV,503,257,100,2,210,0,

0.5,BoneV,128,356,30,0,210,3,
0,BoneV,503,356,30,2,210,3,
0.3,BoneV,128,257,100,0,210,0,
0,BoneV,503,257,100,2,210,0,

0.5,BoneV,128,356,30,0,210,3,
0,BoneV,503,356,30,2,210,3,
0.3,BoneV,128,257,100,0,210,0,
0,BoneV,503,257,100,2,210,0,

0.5,BoneV,128,356,30,0,210,3,
0,BoneV,503,356,30,2,210,3,
0.3,BoneV,128,257,100,0,210,0,
0,BoneV,503,257,100,2,210,0,

0.5,BoneV,128,356,30,0,210,3,
0,BoneV,503,356,30,2,210,3,
0.3,BoneV,128,257,100,0,210,0,
0,BoneV,503,257,100,2,210,0,

0.5,BoneV,128,356,30,0,210,3,
0,BoneV,503,356,30,2,210,3,
0.3,BoneV,128,257,100,0,210,0,
0,BoneV,503,257,100,2,210,0,

0.5,BoneV,128,356,30,0,210,3,
0,BoneV,503,356,30,2,210,3,
0.3,BoneV,128,257,100,0,210,0,
0,BoneV,503,257,100,2,210,0,

0.5,BoneV,128,356,30,0,210,3,
0,BoneV,503,356,30,2,210,3,
0.3,BoneV,128,257,100,0,210,0,
0,BoneV,503,257,100,2,210,0,

1.5,EndAttack
