0,CombatZoneResize,133,251,508,391,TLResume
0,HeartTeleport,320,377,,,,
0,HeartMode,1,,,,,
0,TLpause
1,BoneV,518,336,60,2,210,
0,BoneV,518,241,95,2,210,2
0.29,BoneV,518,241,110,2,210,
0.29,BoneV,518,316,80,2,210,1
0.6,BoneV,518,336,60,2,210,
0,BoneV,518,241,95,2,210,2
0.29,BoneV,518,241,110,2,210,
0.29,BoneV,518,316,80,2,210,1
0.6,BoneV,518,336,60,2,210,
0,BoneV,518,241,95,2,210,2
0.29,BoneV,518,241,110,2,210,
0.29,BoneV,518,316,80,2,210,1


2,BoneV,128,355,55,0,240,
0,BoneV,128,241,95,0,240,
0.39,BoneV,128,296,100,0,240,1
0.39,BoneV,128,296,100,0,240,2
0.39,BoneV,128,326,70,0,240,
0.7,BoneV,128,355,55,0,240,
0,BoneV,128,241,95,0,240,
0.39,BoneV,128,296,100,0,240,1
0.39,BoneV,128,296,100,0,240,2
0.39,BoneV,128,326,70,0,240,
0.7,BoneV,128,355,55,0,240,
0,BoneV,128,241,95,0,240,
0.39,BoneV,128,296,100,0,240,1
0.39,BoneV,128,296,100,0,240,2
0.39,BoneV,128,326,70,0,240,

1.8,BoneV,128,296,100,0,300,1
0,BoneV,503,296,100,2,300,1
1.8,EndAttack
