0,CombatZoneResize,241,226,406,391,TLResume
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,TLPause,,,,,
0,YuriAnimation,NoEyes
0,SET,Loop,15,,,
0,JMPZ,43,$Loop,,,
0,SUB,Loop,$Loop,1,,
0,RND,Direction,4,,,
0,ADD,Jump,$Direction,1,,
0,JMPREL,$Jump,,,,
0,JMPREL,4,,,,
0,JMPREL,5,,,,
0,JMPREL,6,,,,
0,JMPREL,7,,,,
0,SansBody,DS_HandRight,,,,
0,JMPREL,7,,,,
0,SansBody,DS_HandDown,,,,
0,JMPREL,5,,,,
0,SansBody,DS_HandLeft,,,,
0,JMPREL,3,,,,
0,SansBody,DS_HandUp,,,,
0,JMPREL,1,,,,
0.2,SansSlam,$Direction,,,,
0.2,BoneStab,$Direction,40,0.4,0.1,0,3
0,ADD,Direction2,$Direction,2,,
0,BoneStab,$Direction2,90,0.4,0.1,0,3
0,SUB,Direction3,$Direction2,4,,
0,BoneStab,$Direction3,90,0.4,0.1,0,3
,,,,,,
0,ADD,Direction2,$Direction,1,,
0
,,,,,,
0,SUB,Direction2,$Direction,3,,
0,
,,,,,,
0,SUB,Direction2,$Direction,1,,
0,
,,,,,,
0,ADD,Direction2,$Direction,3,,
0,
0.45,JMPABS,7,,,,
0,EndAttack,,,,,
