0,CombatZoneResize,241,226,406,391,TLResume,,,
0,HeartTeleport,320,300,,,,,,
0,HeartMode,0,,,,,,,
0,TLpause,,,,,,,,
0,BoneCircle,325,310,24,2,240,0,1,
0.5,BoneScaleChange,1,40,-2,,,,,
0.5,SET,Loop,4,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,23,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,25,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,29,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,31,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,1,0.1
0.2,JMPNZ,8,$Loop,,,,,,
2,BoneScaleChange,1,50,-1,,,,,
1,GasterBlaster,1,0,240,139,306,0,1.4,0.26666
0,GasterBlaster,1,640,240,499,306,180,1.4,0.26666
0,GasterBlaster,1,0,240,324,106,90,1.4,0.26666
0,GasterBlaster,1,640,240,324,506,270,1.4,0.26666
,,,,,,,,,
1.3,BoneScaleChange,1,35,3,,,,,
1.5,BoneScaleChange,1,106,-1,,,,,
1,GasterBlaster,1,0,0,189,176,45,1.9,0.26666
0,GasterBlaster,1,640,0,449,176,135,1.9,0.26666
0,GasterBlaster,1,640,480,449,436,225,1.9,0.26666
0,GasterBlaster,1,0,480,189,436,315,1.9,0.26666
,,,,,,,,,
1.7,BoneScaleChange,1,35,3,,,,,
,,,,,,,,,
1.5,BoneScaleChange,1,106,-1,,,,,
2,BoneCircleColor,1,2,,,,,,
0,Sound,Ding,1,,,,,,
0.3,BoneScaleChange,1,70,-5,,,,,
1.5,EndAttack,,,,,,,,

